Term,Text:1,Text:2,Text:3,Text:4,Text:5,Text:6
сто,0,0,1,0,0,0
созда,0,0,1,0,0,0
полноцен,0,0,1,0,0,0
при,0,0,1,2,0,0
финансирован,0,0,1,0,0,0
научн,0,0,1,0,0,0
работ,0,0,1,0,0,0
вопрос,0,0,1,1,0,1
влиян,0,0,1,0,0,0
преодолен,0,0,1,0,0,0
вполн,0,0,1,0,0,0
реальн,0,0,1,0,0,0
причин,0,0,1,0,0,0
земн,0,0,1,0,0,0
цивилизац,0,0,1,0,2,0
скор,0,0,1,0,0,0
моч,0,0,1,0,1,0
стат,0,0,2,1,0,0
плод,0,0,1,0,0,0
поэт,0,0,1,0,0,0
сообщ,0,0,1,0,0,0
тог,0,0,1,1,1,1
а,0,0,1,1,0,0
котор,0,0,1,0,2,0
помоч,0,0,1,0,0,0
убереч,0,0,1,0,0,0
наибол,0,0,0,1,1,0
солнечн,0,0,0,1,0,0
систем,0,0,0,1,1,0
поскольк,0,0,0,1,0,0
облада,0,0,0,1,0,0
мног,0,0,0,1,1,0
стран,0,0,0,1,0,0
мир,0,0,0,1,1,0
планирова,0,0,0,1,1,0
обозрим,0,0,0,1,0,0
пилотируем,0,0,0,1,1,0
экспедиц,0,0,0,1,1,0
заяв,0,0,0,1,0,3
нег,0,0,0,1,0,1
ег,0,0,0,1,0,2
слов,0,0,0,1,0,2
год,0,0,0,1,1,1
перв,0,0,0,2,3,1
посел,0,0,0,1,0,1
детальн,0,0,0,1,0,1
изуч,0,0,0,1,0,1
защит,0,0,0,1,0,1
излучен,0,0,0,1,0,1
придержива,0,0,0,1,0,0
однажд,0,0,0,1,0,0
заселен,0,0,0,1,0,0
тольк,0,0,0,1,0,0
захватыва,0,0,0,1,0,0
перспектив,0,0,0,1,0,0
но,0,0,0,1,0,0
насущн,0,0,0,1,0,0
эксперт,0,0,0,1,0,0
уж,0,0,0,2,0,0
сегодн,0,0,0,1,0,0
серьезн,0,0,0,1,0,0
главн,0,0,0,1,0,0
обита,0,0,0,1,0,0
нест,0,0,0,1,0,0
имен,0,0,0,1,0,0
деятельн,0,0,0,1,0,0
внешн,0,0,0,1,0,0
паден,0,0,0,1,0,0
метеор,0,0,0,1,0,0
подобн,0,0,0,1,0,0
эпизод,0,0,0,1,0,0
миллион,0,0,0,1,0,0
случа,0,0,0,1,2,0
когд,0,0,0,2,0,0
размышлен,0,0,0,1,0,0
привлека,0,0,0,1,0,0
себ,0,0,0,1,0,0
существен,0,0,0,1,0,0
ран,0,0,0,1,1,0
частност,0,0,0,1,0,0
может,0,0,0,1,1,0
сдела,0,0,0,1,1,0
собствен,0,0,0,1,0,0
непригодн,0,0,0,1,0,0
жизн,0,0,0,1,0,0
тогд,0,0,0,1,0,0
предполож,0,0,0,1,0,0
через,0,0,0,1,1,0
нескольк,0,0,0,1,0,0
тысяч,0,0,0,1,0,0
поздн,0,0,0,1,1,0
назва,0,0,0,1,0,0
ещ,0,0,0,1,0,0
один,0,0,0,1,0,0
сценар,0,0,0,1,0,0
оказа,0,0,0,1,1,0
попыта,0,0,0,1,0,0
использова,0,0,0,1,0,0
сво,0,0,0,1,1,0
цел,0,0,0,1,3,0
энерг,0,0,0,1,0,0
черн,0,0,0,1,0,0
дыр,0,0,0,1,0,0
помощ,0,0,0,0,1,0
корабл,0,0,0,0,2,0
объяв,0,0,0,0,1,0
xxi,0,0,0,0,1,0
век,0,0,0,0,1,0
роскосмос,0,0,0,0,1,0
esa,0,0,0,0,1,0
иде,0,0,0,0,1,0
доставк,0,0,0,0,1,0
шаг,0,0,0,0,2,0
явля,0,0,0,0,1,0
проявлен,0,0,0,0,1,0
феном,0,0,0,0,1,0
экспанс,0,0,0,0,1,0
прям,0,0,0,0,1,0
включен,0,0,0,0,1,0
разум,0,0,0,0,1,0
исследован,0,0,0,0,2,0
част,0,0,0,0,1,0
окружа,0,0,0,0,1,0
американск,0,0,0,0,1,0
счет,0,0,0,0,1,0
принципиальн,0,0,0,0,1,0
двигател,0,0,0,0,1,0
врем,0,0,0,0,1,0
разработа,0,0,0,0,1,0
программ,0,0,0,0,1,0
направ,0,0,0,0,1,0
сокращен,0,0,0,0,1,0
два,0,0,0,0,1,0
раз,0,0,0,0,1,0
8,0,0,0,0,1,0
до,0,0,0,0,1,0
4,0,0,0,0,1,0
месяц,0,0,0,0,1,0
времен,0,0,0,0,1,0
из,0,0,0,0,1,0
высок,0,0,0,0,1,0
требован,0,0,0,0,1,0
област,0,0,0,0,1,0
двигателестроен,0,0,0,0,1,0
техник,0,0,0,0,1,0
безопасн,0,0,0,0,1,0
жизнеобеспечен,0,0,0,0,1,0
екзобиологеск,0,0,0,0,1,0
ожида,0,0,0,0,1,0
отсюд,0,0,0,0,1,0
инновацион,0,0,0,0,1,0
толчок,0,0,0,0,1,0
аналогичн,0,0,0,0,1,0
60,0,0,0,0,1,0
х,0,0,0,0,1,0
посл,0,0,0,0,1,0
предвеща,0,0,0,0,1,0
экономическ,0,0,0,0,1,0
оживлен,0,0,0,0,1,0
компенсир,0,0,0,0,1,0
расход,0,0,0,0,1,0
наряд,0,0,0,0,1,0
значим,0,0,0,0,1,0
есл,0,0,0,0,1,0
е,0,0,0,0,2,0
кром,0,0,0,0,1,0
сыгра,0,0,0,0,1,0
рол,0,0,0,0,1,0
спасен,0,0,0,0,1,0
несмотр,0,0,0,0,1,0
то,0,0,0,0,1,0
небольш,0,0,0,0,1,0
имет,0,0,0,0,1,0
вид,0,0,0,0,1,0
пот,0,0,0,0,1,0
последств,0,0,0,0,1,0
фатальн,0,0,0,0,1,0
продолжительн,0,0,0,0,1,0
процесс,0,0,0,0,1,0
лучш,0,0,0,0,1,0
начина,0,0,0,0,1,0
можн,0,0,0,0,1,0
об,0,0,0,0,0,1
подчеркнут,0,0,0,0,0,1
переда,0,0,0,0,0,1
